x0,l0,E0,,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255,P256,P257,P258,P259,P260,P261,P262,P263,P264,P265,P266,P267,P268,P269,P270,P271,P272,P273,P274,P275,P276,P277,P278,P279,P280,P281,P282,P283,P284,P285,P286,P287,P288,P289,P290,P291,P292,P293,P294,P295,P296,P297,P298,P299,P300,P301,P302,P303,P304,P305,P306,P307,P308,P309,P310,P311,P312,P313,P314,P315,P316,P317,P318,P319,P320,P321,P322,P323,P324,P325,P326,P327,P328,P329,P330,P331,P332,P333,P334,P335,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345,P346,P347,P348,P349,P350,P351,P352,P353,P354,P355,P356,P357,P358,P359,P360,P361,P362,P363,P364,P365,P366,P367,P368,P369,P370,P371,P372,P373,P374,P375,P376,P377,P378,P379,P380,P381,P382,P383,P384,P385,P386,P387,P388,P389,P390,P391,P392,P393,P394,P395,P396,P397,P398,P399,P400,P401,P402,P403,P404,P405,P406,P407,P408,P409,P410,P411,P412,P413,P414,P415,P416,P417,P418,P419,P420,P421,P422,P423,P424,P425,P426,P427,P428,P429,P430,P431,P432,P433,P434,P435,P436,P437,P438,P439,P440,P441,P442,P443,P444,P445,P446,P447,P448,P449,P450,P451,P452,P453,P454,P455,P456,P457,P458,P459,P460,P461,P462,P463,P464,P465,P466,P467,P468,P469,P470,P471,P472,P473,P474,P475,P476,P477,P478,P479,P480,P481,P482,P483,P484,P485,P486,P487,P488,P489,P490,P491,P492,P493,P494,P495,P496,P497,P498,P499,P500,P501,P502,P503,P504,P505,P506,P507,P508,P509,P510,P511,P512,P513,P514,P515,P516,P517,P518,P519,P520,P521,P522,P523,P524,P525,P526,P527,P528,P529,P530,P531,P532,P533,P534,P535,P536,P537,P538,P539,P540,P541,P542,P543,P544,P545,P546,P547,P548,P549,P550,P551,P552,P553,P554,P555,P556,P557,P558,P559,P560,P561,P562,P563,P564,P565,P566,P567,P568,P569,P570,P571,P572,P573,P574,P575,P576,P577,P578,P579,P580,P581,P582,P583,P584,P585,P586,P587,P588,P589,P590,P591,P592,P593,P594,P595,P596,P597,P598,P599,P600,
6.95577052,0.24984025,1.03177689, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000001,0,-0.00000001,0,0.00000003,-0.00000001,-0.00000007,0.00000003,0.00000014,-0.00000009,-0.0000003,0.00000022,0.0000006,-0.00000051,-0.0000012,0.00000113,0.00000235,-0.00000239,-0.00000455,0.00000486,0.00000868,-0.00000948,-0.00001639,0.00001781,0.00003057,-0.00003216,-0.00005628,0.00005566,0.00010204,-0.00009197,-0.00018166,0.00014405,0.00031636,-0.00021143,-0.00053658,0.00028523,0.00088189,-0.00034027,-0.00139647,0.00032553,0.00211654,-0.00015613,-0.0030466,-0.00028509,0.00412489,0.00112512,-0.00518704,-0.00244596,0.00595012,0.00419666,-0.00605142,-0.0060972,0.00517416,0.00759812,-0.00325304,-0.00797845,0.00068849,0.00665684,0.00163021,-0.00358869,-0.00256216,-0.00031987,0.00155188,0.00373195,0.00130523,-0.00471929,-0.00357768,0.0045754,0.00610434,-0.0004099,-0.00188879,0.00401925,0.00810925,0.00955741,0.01308522,0.0174685,0.02432837,0.04041711,0.06153369,0.0771289,0.09214966,0.11972153,0.15889368,0.20088826,0.24205961,0.27489522,0.28720606,0.27840578,0.25568977,0.21898717,0.17095092,0.12693835,0.09663156,0.07453667,0.0563804,0.04249775,0.02822934,0.01284113,0.00561446,0.00781293,0.0086539,0.00514986,0.00272397,0.00068168,-0.00194795,-0.00014683,0.00405064,0.00272371,-0.00117703,-0.00057088,0.00094846,-0.00027766,-0.00002093,0.00121091,-0.00071715,-0.00156854,0.00165773,0.00218203,-0.00138756,-0.00195781,0.00011427,0.00020045,0.00082202,0.00239391,-0.0001593,-0.0036372,-0.00133882,0.00227474,0.00167756,0.00056123,0.00008921,-0.00236708,-0.00255899,0.00183551,0.00335253,-0.00003284,-0.00157102,-0.00095373,-0.00131928,0.00026567,0.00301499,0.00104401,-0.00251663,-0.00137505,0.00071201,0.000275,0.00084084,0.00129537,-0.00134947,-0.00207932,0.00106232,0.00161576,-0.00056021,-0.00032638,0.00015072,-0.00107144,0.00010512,0.00198829,-0.00016094,-0.00201109,0.00004631,0.00099159,-0.00003437,0.00066356,0.00043178,-0.00196705,-0.00107793,0.00198912,0.00124921,-0.0007232,-0.00033938,-0.00077548,-0.00130368,0.00130716,0.00240998,-0.00065593,-0.00187997,-0.00025445,-0.00008597,0.00037279,0.00202499,0.00036423,-0.00246979,-0.00099668,0.00122019,0.00060445,0.00058526,0.00067569,-0.00158141,-0.00173419,0.0013255,0.00154991,-0.0004442,-0.00013744,-0.00016197,-0.00149786,0.00013851,0.00224044,0.00021504,-0.00170192,-0.00044685,0.00035755,0.00043401,0.00093683,-0.00042497,-0.00152659,0.00075139,0.00126281,-0.00154386,-0.00049926,0.00261956,-0.00011759,-0.0035184,0.00000799,0.00367442,0.00094616,-0.00274614,-0.00224244,0.00097025,0.0030609,0.0007982,-0.00287475,-0.00157055,0.00184932,0.00095817,-0.00063423,0.00048273,-0.00026021,-0.00168394,0.00085934,0.00193402,-0.00148916,-0.00140184,0.00216876,0.00079094,-0.00242161,-0.00061308,0.00163184,0.00055349,-0.00007034,-0.00028138,-0.00165446,-0.0009401,0.00153999,0.0012658,-0.00121728,-0.00279608,-0.00268175,-0.00085374,-0.00007829,-0.00344321,-0.00718663,-0.00769643,-0.00848711,-0.01082331,-0.01297834,-0.01822529,-0.025998,-0.02874442,-0.02852156,-0.03340694,-0.03960393,-0.04132042,-0.04176861,-0.03932343,-0.02897541,-0.01698504,-0.00828344,0.00380562,0.01934181,0.03006449,0.03673834,0.04278091,0.0446899,0.04369104,0.04457771,0.04282869,0.03383571,0.02278308,0.01394515,0.00729484,0.00464299,0.00511564,0.00414904,0.00175754,0.0005987,0.00049607,0.00117662,0.00199879,0.0010477,-0.00022451,0.0002974,0.00057944,0.00017563,0.00074146,0.00018219,-0.00151281,-0.00017906,0.00197588,0.00051312,-0.00084722,-0.0000137,-0.00083959,-0.00115305,0.001809,0.00200564,-0.00139798,-0.00135599,0.00042572,-0.00053403,0.00009171,0.00220176,-0.00000561,-0.00234182,0.00003251,0.00106902,-0.00059535,0.00044722,0.00121582,-0.00125286,-0.0011284,0.00130361,0.00026581,-0.00101138,0.0006611,0.00055179,-0.00098997,0.00013668,0.00075164,-0.00086382,-0.00040686,0.00110682,0.00017739,-0.00058181,0.00010416,-0.00028737,-0.00052525,0.0007115,0.00077362,-0.00036078,-0.00048495,-0.00030196,-0.000194,0.0005677,0.00063099,-0.00023811,-0.00038269,-0.00027276,-0.00028067,0.00050479,0.00065024,-0.00042143,-0.00033842,0.00025955,-0.00035395,-0.00009173,0.00082745,-0.00024249,-0.00079748,0.00076097,0.00043002,-0.00110161,0.00001321,0.00084364,-0.0004393,-0.00004161,0.00076443,-0.00072144,-0.00068183,0.0008975,-0.00013826,-0.00051923,0.00152948,0.00009133,-0.00267153,0.0000206,0.00267905,0.00004822,-0.0014424,0.00002948, 
4.63031764,0.29629826,1.06373592, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000001,-0.00000001,0.00000002,0.00000002,-0.00000005,-0.00000003,0.00000012,0.00000004,-0.00000026,-0.00000006,0.00000055,0.00000007,-0.00000115,-0.00000005,0.00000235,-0.00000005,-0.0000047,0.00000029,0.00000917,-0.00000078,-0.00001754,0.00000158,0.00003283,-0.0000025,-0.0000601,0.00000268,0.00010739,0.00000044,-0.0001869,-0.000013,0.0003158,0.0000478,-0.00051607,-0.00012889,0.00081161,0.00029702,-0.00122074,-0.00061385,0.00174193,0.00116057,-0.00233247,-0.00202366,0.0028846,0.00325983,-0.0032115,-0.00483695,0.00306522,0.00656224,-0.00221123,-0.00803384,0.00056941,0.008678,0.0016163,-0.00792877,-0.00367618,0.00556218,0.00465331,-0.00200767,-0.00369738,-0.00150077,0.00083094,0.0036307,0.00310301,-0.00313336,-0.0055717,0.00173198,0.00711568,0.00205977,-0.00277709,0.00128587,0.00686174,0.00864151,0.0111109,0.01506063,0.01976211,0.03200368,0.05268223,0.07026545,0.08292239,0.10457643,0.14060638,0.18248222,0.22484488,0.26297693,0.2841687,0.28246913,0.26518014,0.23507964,0.19060332,0.14332329,0.10797505,0.08304421,0.06203111,0.0459703,0.03254902,0.01724399,0.00711812,0.00875114,0.01266622,0.01029513,0.00661155,0.00431377,0.00064608,-0.00008279,0.00453515,0.00560819,0.00062594,-0.0012589,0.00080256,0.00031562,-0.00032666,0.00168023,0.00083775,-0.00200913,0.00003443,0.00286677,0.00007854,-0.00233014,-0.00024974,0.00054352,-0.000014,0.00196671,0.00160121,-0.00292148,-0.00306639,0.00159282,0.00251156,0.00058743,0.00040137,-0.00127242,-0.00346682,-0.00006042,0.00409423,0.0016336,-0.00183054,-0.00133596,-0.00121162,-0.00088731,0.00257205,0.00298899,-0.00171986,-0.002955,0.00014608,0.00075912,0.00049683,0.00181987,0.00001769,-0.00298961,-0.00067116,0.00234895,0.00054138,-0.00074144,0.0003333,-0.00078888,-0.0012552,0.00167165,0.00162465,-0.00174975,-0.00125096,0.00107644,0.00020817,0.00000438,0.00121204,-0.0008263,-0.00234719,0.00084422,0.0023273,-0.00023065,-0.00080024,-0.000179,-0.00143564,-0.000233,0.00279877,0.0010614,-0.00223282,-0.00116971,0.00023414,-0.00006492,0.00153496,0.00187043,-0.00176705,-0.00263073,0.00066218,0.00143146,0.00043395,0.00095832,-0.00047237,-0.00270078,-0.00029884,0.00250992,0.00074994,-0.00070593,-0.00015323,-0.00122234,-0.00104716,0.00197658,0.00170686,-0.00139535,-0.00110969,0.00026862,-0.00039166,0.00053645,0.00173389,-0.00071457,-0.00202014,0.00049607,0.00111076,-0.00024548,0.00041231,0.00015915,-0.0016764,-0.00021206,0.00198632,0.00022762,-0.00116314,0.00000636,-0.00032096,-0.00054306,0.00154589,0.00109061,-0.00171683,-0.00109979,0.0007765,0.00023369,0.0004975,0.00114037,-0.00112,-0.00202134,0.00075346,0.00154998,0.00002667,0.00013673,-0.00035272,-0.00184491,-0.00003455,0.00225577,0.00053605,-0.0010601,-0.00037007,-0.00076627,-0.00052862,0.0018201,0.00134545,-0.001458,-0.00116344,0.00022739,-0.00009129,0.00077213,0.00148934,-0.00089624,-0.00189136,0.00038213,0.00093834,0.00008321,0.00066268,-0.00009618,-0.00175289,-0.00015892,0.00162973,0.00022421,-0.00049013,0.00011545,-0.00083863,-0.00062558,0.00153772,0.00085081,-0.00129638,-0.00051273,0.00040809,-0.00025304,0.0004889,0.00095632,-0.00082596,-0.00104635,0.00044876,0.00028089,0.00030557,0.00103695,-0.00087685,-0.00215865,0.00093076,0.00236735,-0.0006216,-0.00155368,0.00040375,0.00040747,-0.0005369,0.00004331,0.00077442,0.00074507,-0.00059616,-0.00234251,-0.00020145,0.0036636,0.0011674,-0.00385436,-0.00152687,0.00296302,0.00092514,-0.00179858,0.00014491,0.00114497,-0.00071114,-0.0010935,0.00019929,0.00109929,0.00099164,-0.00063705,-0.00177239,-0.00023094,0.00127148,0.00091914,0.0004272,-0.00090637,-0.00233234,0.00024817,0.00328792,0.00045741,-0.00277035,-0.00057745,0.00114471,-0.00006859,0.00068563,0.00112136,-0.00190063,-0.0020525,0.00210935,0.002485,-0.00152258,-0.00257415,0.00038512,0.00231157,0.00043462,-0.00253726,-0.00153671,0.00188591,0.00072719,-0.0032695,-0.00252123,0.00024342,-0.00165087,-0.0051314,-0.00583373,-0.00599879,-0.00755784,-0.01057816,-0.0149936,-0.01848215,-0.02119885,-0.02668965,-0.03240259,-0.03429774,-0.03703838,-0.04276424,-0.04500081,-0.04340132,-0.04166529,-0.03447979,-0.0195804,-0.00615362,0.00334136,0.01533042,0.02752603,0.03349649,0.03585199,0.03880027,0.04164364,0.04457354,0.04771595,0.04713818,0.03971712,0.02808106,0.01843431,0.01366405,0.00968516,0.00344404,-0.00099884,-0.00152896,-0.00119999, 
5.4990225,0.24668101,1.01016924, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000001,-0.00000001,-0.00000001,0.00000002,0.00000003,-0.00000005,-0.00000005,0.00000012,0.00000009,-0.00000026,-0.00000017,0.00000057,0.0000003,-0.0000012,-0.00000053,0.00000248,0.00000091,-0.00000498,-0.0000016,0.00000976,0.00000289,-0.00001866,-0.0000054,0.00003478,0.00001049,-0.00006316,-0.000021,0.00011153,0.00004256,-0.00019098,-0.00008585,0.00031606,0.0001699,-0.00050323,-0.00032618,0.00076626,0.00060249,-0.00110687,-0.00106358,0.00149961,0.00178378,-0.00187273,-0.00282475,0.00209214,0.00419341,-0.00196348,-0.00578265,0.00127301,0.00731469,0.00011551,-0.00833001,-0.00211575,0.00828027,0.00428515,-0.00675893,-0.00581385,0.00383185,0.00577959,-0.00025678,-0.00363058,-0.00258025,-0.00015302,0.00349332,0.00425422,-0.00186601,-0.00627388,-0.00027096,0.0067363,0.00347822,-0.00238842,-0.00030339,0.00501533,0.00741013,0.00984058,0.01295755,0.01560645,0.02497267,0.04438706,0.06259282,0.07418618,0.0915274,0.12301177,0.16280835,0.20603071,0.24868127,0.27788297,0.28505354,0.27570387,0.25266395,0.21263279,0.16480808,0.12555206,0.09694378,0.07344988,0.05577817,0.04159299,0.02476509,0.01094112,0.00888861,0.01157171,0.00920556,0.00518444,0.00271282,-0.00109676,-0.00244718,0.002444,0.00513294,0.00089934,-0.00168218,0.00015956,0.00009488,-0.00057642,0.00156311,0.00119772,-0.00211768,-0.00082913,0.00263379,0.00071406,-0.0021121,-0.00056061,0.00033246,-0.00037532,0.00171146,0.00227744,-0.00217252,-0.00353512,0.00074624,0.00242396,0.00084423,0.00077384,-0.00067255,-0.00358041,-0.00110782,0.00369331,0.00235099,-0.00127582,-0.00128925,-0.00131154,-0.0014637,0.00197933,0.00349979,-0.00082548,-0.00304137,-0.00039049,0.0005624,0.00032239,0.00191489,0.00070736,-0.00279158,-0.0013791,0.00202117,0.00088573,-0.00059883,0.00041446,-0.00057648,-0.0015888,0.00119255,0.00198769,-0.00125647,-0.00148488,0.000831,0.00025599,-0.00015268,0.0012939,-0.0003008,-0.00242202,0.00020381,0.00229426,0.0001507,-0.00071883,-0.00004988,-0.00137029,-0.00078202,0.00246667,0.00163265,-0.00178992,-0.00137427,0.00005118,-0.00028069,0.00120115,0.0022076,-0.00106561,-0.00275484,0.00008419,0.00130372,0.00045723,0.00107411,0.00005868,-0.00255326,-0.00096319,0.00215723,0.00108044,-0.00048038,-0.00001196,-0.00104347,-0.00142537,0.0014565,0.00198987,-0.00090035,-0.0011605,0.00015806,-0.00046679,0.00019475,0.00176478,-0.00016737,-0.00195878,0.00009191,0.00105264,-0.00019453,0.00034864,0.00043685,-0.0014704,-0.00062136,0.00173944,0.00053402,-0.00103348,-0.00005074,-0.0002163,-0.00072348,0.00121423,0.00135558,-0.00132002,-0.00126539,0.0005648,0.00022534,0.00034702,0.00123536,-0.00066233,-0.00205304,0.00028167,0.00147376,0.00018096,0.00019856,-0.00008449,-0.00173231,-0.00050875,0.00197183,0.000857,-0.00082346,-0.00033719,-0.00070385,-0.00080882,0.00143039,0.00159398,-0.00100689,-0.0012019,0.00006712,-0.00019909,0.00050723,0.00154895,-0.00040844,-0.00180407,0.00003714,0.00080161,0.00005515,0.00067374,0.00024197,-0.00158643,-0.00054832,0.00143123,0.000442,-0.000481,0.00010089,-0.00055357,-0.00067695,0.00105659,0.00079373,-0.00083787,-0.00024369,0.00014616,-0.000752,0.00053999,0.00167039,-0.0008072,-0.00198626,0.00055338,0.00150747,-0.00003528,-0.00056954,-0.00035779,-0.00009771,0.00045709,-0.0001475,-0.00047015,0.00132576,0.00074334,-0.00271913,-0.00133068,0.003371,0.00183026,-0.00285011,-0.00173205,0.00161238,0.00098028,-0.00060477,-0.0001558,0.00045169,0.00000582,-0.00096916,-0.00071442,0.00143789,0.00163081,-0.00133244,-0.00177824,0.00078363,0.00071597,-0.00035699,0.001032,0.00042519,-0.00237477,-0.00078684,0.00251674,0.00088803,-0.00153519,-0.00038733,0.00022765,-0.00051177,0.00054589,0.00124461,-0.0004619,-0.00141139,-0.00021884,0.00104274,0.00089316,-0.00065534,-0.00128047,0.00045321,0.00096554,-0.00098733,-0.00079582,0.00095704,-0.00056396,-0.00241068,-0.00066125,0.000167,-0.00228762,-0.00407819,-0.00458612,-0.00519686,-0.00568791,-0.00855254,-0.01381887,-0.01592455,-0.0167254,-0.02317495,-0.03024113,-0.03063094,-0.03132345,-0.03802544,-0.04277609,-0.04082356,-0.0370624,-0.03218427,-0.02190047,-0.00703546,0.00726685,0.01842859,0.02781348,0.03606734,0.04053376,0.0414684,0.04372263,0.0464246,0.04385499,0.03767758,0.03137246,0.02113894,0.00824555,0.00203313,0.00217729,0.00095853,-0.00056117,0.00056123,0.00066857,-0.00014678,0.00173221,0.00325873,0.00124131,-0.000772,-0.00051916, 
3.28229293,0.24114414,1.08692611, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000001,0,-0.00000002,0.00000001,0.00000003,-0.00000003,-0.00000007,0.00000008,0.00000014,-0.0000002,-0.00000027,0.00000044,0.00000051,-0.00000096,-0.00000098,0.00000202,0.00000185,-0.00000411,-0.00000348,0.00000814,0.00000653,-0.00001562,-0.00001228,0.00002912,0.00002307,-0.00005262,-0.00004324,0.00009203,0.00008055,-0.00015527,-0.0001483,0.0002517,0.00026814,-0.00038977,-0.00047314,0.00057188,0.00080945,-0.00078541,-0.00133388,0.00098995,0.00210286,-0.00110394,-0.00314798,0.00099844,0.00443635,-0.00051177,-0.00582259,-0.00049906,0.00701524,0.00206314,-0.007597,-0.00397636,0.00714246,0.00572331,-0.0054412,-0.00653821,0.00276166,0.00570367,0.00005183,-0.00299299,-0.00177071,-0.00083879,0.00160958,0.00444356,0.00054773,-0.0058069,-0.0025173,0.00585656,0.00490572,-0.00191353,-0.00121752,0.00480623,0.00718421,0.00848968,0.01236955,0.01577374,0.02250374,0.03959695,0.05953461,0.07246103,0.08719885,0.1159127,0.15460995,0.19610818,0.23867388,0.27283573,0.28590597,0.27925039,0.2588586,0.22251144,0.17488338,0.13287155,0.1034618,0.08008223,0.06074576,0.04599541,0.03017088,0.01411149,0.00752373,0.00907585,0.0079687,0.00386568,0.00189269,-0.0002444,-0.00257421,0.00010148,0.00399081,0.0018836,-0.0014547,-0.00027618,0.00062009,-0.00073708,0.00018759,0.00131335,-0.00088283,-0.00124315,0.00180011,0.00143913,-0.00176403,-0.00135914,0.00050333,0.00013528,0.00085839,0.00202397,-0.00083372,-0.00333779,-0.00043769,0.00232182,0.00121614,0.00039245,-0.00018517,-0.00248396,-0.00186598,0.00230044,0.00278628,-0.00047276,-0.00139263,-0.00094583,-0.00124067,0.00072316,0.00290004,0.00044363,-0.00240841,-0.00097485,0.00052914,0.0001995,0.00109606,0.001093,-0.00154704,-0.00167627,0.0011005,0.00111488,-0.00047467,0.0000673,0.00002311,-0.00111169,0.00028699,0.00160894,-0.00046163,-0.0014537,0.00039448,0.00063232,-0.0001657,0.00064705,0.00011439,-0.00173177,-0.00040742,0.00181453,0.00065824,-0.00069609,-0.00025269,-0.00081916,-0.00084096,0.00153006,0.00175751,-0.00096621,-0.00146942,-0.00015195,-0.00009395,0.00067081,0.0017791,-0.00020062,-0.00219744,-0.00053033,0.00101933,0.0005285,0.00073719,0.00035409,-0.00168862,-0.00124738,0.0013134,0.00117519,-0.00024083,-0.00005351,-0.00053012,-0.00123753,0.00056352,0.00169388,-0.0001769,-0.00104029,-0.00010083,-0.00016835,0.00009291,0.00111748,-0.00002161,-0.00132881,0.00016497,0.00083194,-0.00058591,0.00000601,0.00114434,-0.00069951,-0.00162819,0.0008185,0.00182204,-0.00019068,-0.00156759,-0.00092872,0.00092091,0.00195331,-0.00027336,-0.00239261,0.00016334,0.00226936,-0.00078729,-0.00207016,0.00165888,0.00220706,-0.00187855,-0.00252809,0.00090456,0.00243254,0.00087186,-0.00152179,-0.00235404,0.00010698,0.00261736,0.00099636,-0.00162961,-0.00120947,0.00016255,0.00070796,0.00094509,-0.00018785,-0.00141162,0.00013872,0.00146457,-0.00040071,-0.00134929,0.00039856,0.00096486,0.00014473,-0.00016956,-0.00102689,-0.00107,0.00138399,0.0018682,-0.00131026,-0.00239895,-0.00034425,0.00046349,0.00014466,-0.00050857,-0.00330656,-0.0052354,-0.00307521,-0.00203391,-0.00594193,-0.01050939,-0.01333906,-0.01610736,-0.01854768,-0.02144807,-0.02722056,-0.03365601,-0.03724828,-0.03916492,-0.04095819,-0.04129675,-0.03797956,-0.0284374,-0.01286315,0.00346753,0.01651348,0.02649475,0.03371451,0.03962464,0.04635476,0.05013323,0.04642776,0.03897932,0.03173942,0.0231623,0.0150504,0.01047759,0.00609304,0.00133348,0.00142666,0.00409694,0.00306155,0.00085125,0.00057732,-0.00061498,-0.00127585,0.00154706,0.00277802,-0.00026778,-0.00182123,-0.00050441,-0.00000317,0.00060753,0.00188513,0.00053903,-0.00189502,-0.00121713,0.00069609,0.00085028,0.00045356,0.00011384,-0.0007312,-0.00078463,0.00032694,0.00084003,0.00019247,-0.00054943,-0.00046192,0.000287,0.00045712,-0.00009034,-0.00017761,-0.00014883,-0.00040448,0.00034413,0.00106307,-0.00029721,-0.0012575,0.00007191,0.00060863,-0.00003269,0.00058402,0.00038479,-0.00147402,-0.00078942,0.00142249,0.00063365,-0.00058446,0.00025974,-0.00030833,-0.00130036,0.00069753,0.00162081,-0.00064076,-0.00090228,0.00052923,-0.00033585,-0.00052388,0.00124861,0.0004118,-0.0013877,0.00000941,0.00091206,-0.0005703,-0.00022764,0.00086447,-0.00040047,-0.00069535,0.0008572,0.00026815,-0.00098842,0.00008882,0.00062935,-0.00028905,0.00012149,0.00047501,-0.00079875,-0.00068481,0.00091608,0.00068829,-0.00046091,-0.00026271, 
